Source,Geography,Race,SES Vulnerability,Cause,Deaths
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Neural Tube Defects,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Obstructive Heart Disease (incl. Heart Attack),0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Oral Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Ovarian Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Stroke,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Parkinson's Disease,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Pneumonia,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Poisoning,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Prematurity,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Prostate Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Sickle Cell Anemia,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Skin Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Stomach Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very High,Pancreatic Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Liver Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Lung Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Motor Vehicle Crashes (MVC),0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Neural Tube Defects,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Obstructive Heart Disease (incl. Heart Attack),0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Oral Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Ovarian Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Pancreatic Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Breast Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Pneumonia,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Poisoning,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Prematurity,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Prostate Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Sickle Cell Anemia,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Skin Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Stomach Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Stroke,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Parkinson's Disease,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Bronchitis,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Cervical Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Colon Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Diabetes,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Disorders Related to Drug Use,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Drowning,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Emphysema,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Falls,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Fire and Smoke Exposure,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Leukemia,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Hardening of the Arteries,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,High Blood Pressure (Hypertension),0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Hypertensive Heart Disease,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Intentional Self-Harm (Suicide),0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Kidney Cancer,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Kidney Diseases,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Kidney Infections,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Legal Intervention,0.0
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Very Low,Flu,0.0
OASIS,DeKalb,Multiracial,Low,All Other Unintentional Injury,0.0
OASIS,DeKalb,Multiracial,Low,All other Chronic Liver Disease and Cirrhosis,0.0
OASIS,DeKalb,Multiracial,Low,All other Chronic Lower Respiratory Diseases,0.0
OASIS,DeKalb,Multiracial,Low,All other Diseases of the Genitourinary System,0.0
OASIS,DeKalb,Multiracial,Low,All other Diseases of the Nervous System,0.0
OASIS,DeKalb,Multiracial,Low,All other Mental and Behavioral Disorders,0.0
OASIS,DeKalb,Multiracial,Low,All other Other Diseases of Circulatory System,0.0
OASIS,DeKalb,Multiracial,Low,Alzheimer's Disease,0.0
OASIS,DeKalb,Multiracial,Low,Aortic Aneurysm and Dissection,0.0
