Source,Geography,Race,SES Vulnerability,Cause,Deaths
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Assault (Homicide),0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Alcoholic Liver Disease,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,All Other Unintentional Injury,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,All other Chronic Liver Disease and Cirrhosis,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,All other Chronic Lower Respiratory Diseases,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,All other Diseases of the Genitourinary System,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,All other Mental and Behavioral Disorders,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,All other Other Diseases of Circulatory System,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Alzheimer's Disease,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Aortic Aneurysm and Dissection,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Accidental Shooting,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Sickle Cell Anemia,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Skin Cancer,0.0
