Geography,FIPS,Race,Cause,Age,Sex,Deaths,County,Percent
Fulton,13121,Selected Races Total,Selected Causes Total,Selected Ages Total,Male,2850.0,Fulton,52.111903455842025
Fulton,13121,Selected Races Total,Selected Causes Total,Selected Ages Total,Female,2619.0,Fulton,47.88809654415798
DeKalb,13089,Selected Races Total,Selected Causes Total,Selected Ages Total,Male,2200.0,DeKalb,52.44338498212158
DeKalb,13089,Selected Races Total,Selected Causes Total,Selected Ages Total,Female,1995.0,DeKalb,47.55661501787843
