Geography,FIPS,Race,Cause,Age,Sex,Deaths,County
Fulton,13121,Selected Races Total,Selected Causes Total,Selected Ages Total,Selected Sexes Total,5469.0,Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,Selected Ages Total,Selected Sexes Total,4195.0,DeKalb
